"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CR2",0.00026057747082253,5.87485565381188,0.117,0.095,0.0364808459151542,"6","CR2"
"CXCR3",0.000394650676424624,1.9551355212099,0.01,0.004,0.0552510946994474,"6","CXCR3"
"TNFRSF4",0.000470469049937685,1.41311479901141,0.014,0.007,0.0658656669912759,"6","TNFRSF4"
"LILRB1",0.000491150796604013,2.0381971122709,0.013,0.009,0.0687611115245618,"6","LILRB1"
"IL3RA",0.00126478883896467,-2.02288081412494,0.118,0.097,0.177070437455054,"6","IL3RA"
"CD14",0.00154262395692144,-1.41478483239465,0.068,0.052,0.215967353969001,"6","CD14"
"IGHM",0.0024328941399726,-4.09975733038165,0.024,0.024,0.340605179596164,"6","IGHM"
"PVR",0.00351172012977271,1.78407327960101,0.022,0.014,0.49164081816818,"6","PVR"
"CD8A",0.00468637062060845,-1.96898408416021,0.373,0.344,0.656091886885183,"6","CD8A"
"ITGA1",0.00487766513048098,2.60003690717442,0.161,0.158,0.682873118267337,"6","ITGA1"
"CD22",0.0049750087497763,1.43213191595518,0.052,0.04,0.696501224968683,"6","CD22"
"FCER2",0.00567810106001372,-0.750309449923341,0.012,0.007,0.794934148401921,"6","FCER2"
"ENTPD1",0.0070645859599137,-0.844194771650523,0.095,0.078,0.989042034387918,"6","ENTPD1"
"IGHD",0.0077991315365337,-10.0657722769736,0.068,0.054,1,"6","IGHD"
"KIR2DL1.1",0,9.98492503776704,0.432,0.088,0,"8","KIR2DL1"
"KIR2DL3.1",0,8.88007168462567,0.611,0.162,0,"8","KIR2DL3"
"KIR3DL1.1",0,7.95603192320246,0.391,0.08,0,"8","KIR3DL1"
"CD99.1",5.18836365665006e-118,-1.01124617452693,0.961,0.832,7.26370911931008e-116,"8","CD99"
"KLRD1.1",2.61531888883892e-87,-5.43007651578373,0.602,0.734,3.66144644437449e-85,"8","KLRD1"
"B3GAT1.1",2.65930861576485e-78,8.59834735403351,0.23,0.107,3.7230320620708e-76,"8","B3GAT1"
"ADGRG1.1",5.10632364009525e-78,4.26626048873345,0.738,0.579,7.14885309613335e-76,"8","ADGRG1"
"CD44.1",2.2011988431111e-73,-3.54228502113864,0.581,0.698,3.08167838035553e-71,"8","CD44"
"ICAM1.1",6.88869110926987e-64,-6.91675415702282,0.323,0.456,9.64416755297782e-62,"8","ICAM1"
"NCAM1.1",4.24505760961353e-55,-15.8022013975678,0.53,0.627,5.94308065345894e-53,"8","NCAM1"
"SELL.1",1.67372187587977e-42,-2.0615337813429,0.214,0.334,2.34321062623167e-40,"8","SELL"
"CX3CR1.1",1.13370037879088e-40,1.03180121425778,0.226,0.122,1.58718053030723e-38,"8","CX3CR1"
"CD7.1",7.23293390852697e-37,11.2136521539566,0.762,0.806,1.01261074719378e-34,"8","CD7"
"CD8A.1",2.31433353705839e-36,3.4459728620302,0.436,0.324,3.24006695188175e-34,"8","CD8A"
"FCGR3A.1",1.74787615432492e-34,-1.47893009934599,0.862,0.809,2.44702661605489e-32,"8","FCGR3A"
"NCR1.1",1.40185444317134e-25,-1.3894640025815,0.626,0.712,1.96259622043988e-23,"8","NCR1"
"CD45.1",5.42647597324307e-24,-0.924987213855063,0.845,0.759,7.59706636254029e-22,"8","CD45"
"CD3D.1",8.80320169067046e-23,-10.1555667494805,0.139,0.091,1.23244823669386e-20,"8","CD3D"
"CD2.1",8.95918110506103e-21,-3.4013098014258,0.312,0.372,1.25428535470854e-18,"8","CD2"
"SIGLEC7.1",1.64334036229899e-18,-2.79873760938568,0.489,0.582,2.30067650721859e-16,"8","SIGLEC7"
"GGT1",8.37748547511646e-18,1.63856245451666,0.004,0.027,1.1728479665163e-15,"8","GGT1"
"CD82.1",2.22966805728094e-16,-1.69343234439051,0.024,0.06,3.12153528019332e-14,"8","CD82"
"CD5.1",5.12874181565134e-16,-6.72212226708146,0.044,0.063,7.18023854191188e-14,"8","CD5"
"ITGAL.1",2.73278116032993e-15,0.347044057649278,0.981,0.959,3.8258936244619e-13,"8","ITGAL"
"KLRK1.1",5.57586633426908e-15,-2.62623590248378,0.153,0.215,7.80621286797671e-13,"8","KLRK1"
"CD4.1",3.29417895486885e-14,-4.44642738135316,0.021,0.043,4.61185053681638e-12,"8","CD4"
"CD226",1.61044961703759e-13,0.627589986214888,0.085,0.046,2.25462946385262e-11,"8","CD226"
"CD28.1",1.6879409627397e-13,-6.15685864931445,0.022,0.043,2.36311734783557e-11,"8","CD28"
"DPP4.1",5.06689100199099e-13,-4.87587758593946,0.021,0.046,7.09364740278739e-11,"8","DPP4"
"ICOS.1",5.91928920404915e-12,-5.58166152573433,0.026,0.048,8.28700488566882e-10,"8","ICOS"
"TFRC.1",3.01694150713068e-11,-3.72905406507197,0.019,0.044,4.22371810998295e-09,"8","TFRC"
"ITGB1.1",7.30069362268783e-11,-0.331670442379346,0.635,0.575,1.0220971071763e-08,"8","ITGB1"
"ITGA6.1",1.8043261839407e-10,-1.62771507309652,0.013,0.034,2.52605665751698e-08,"8","ITGA6"
"ITGA1.1",4.8205847157553e-10,-8.15314469470948,0.134,0.169,6.74881860205742e-08,"8","ITGA1"
"SLAMF6.1",2.36570655917562e-09,-0.731519902302345,0.452,0.425,3.31198918284586e-07,"8","SLAMF6"
"ITGAX.1",1.04998482042044e-08,-6.22835470305771,0.524,0.522,1.46997874858862e-06,"8","ITGAX"
"IL2RB.1",4.95476671208868e-08,-1.37176740058282,0.335,0.351,6.93667339692415e-06,"8","IL2RB"
"TIGIT.1",5.68290775334079e-08,-5.86512531425296,0.25,0.261,7.95607085467711e-06,"8","TIGIT"
"ENTPD1.1",5.83208714783681e-08,-9.30041986627622,0.067,0.093,8.16492200697154e-06,"8","ENTPD1"
"CD48.1",5.10856471141187e-07,-0.364307769697364,0.798,0.761,7.15199059597661e-05,"8","CD48"
"IL7R.1",2.72540636935869e-06,-4.81176053880737,0.014,0.028,0.000381556891710217,"8","IL7R"
"TCR-AB.1",2.50075438102464e-05,-12.2772318892134,0.076,0.055,0.00350105613343449,"8","TCR-AB"
"CR2.1",4.41965806368664e-05,-4.31032774318686,0.086,0.112,0.00618752128916129,"8","CR2"
"ITGAE.1",9.47875107678392e-05,-7.59810876309516,0.103,0.129,0.0132702515074975,"8","ITGAE"
"CD27.1",0.000119652616483113,-5.72874687280827,0.057,0.073,0.0167513663076359,"8","CD27"
"PECAM1.1",0.000453622000039707,-1.53104685315479,0.049,0.067,0.063507080005559,"8","PECAM1"
"HLA-E.1",0.000609212607410034,0.306209437541142,0.091,0.07,0.0852897650374048,"8","HLA-E"
"ANPEP.1",0.00131668206500027,8.68049786035639,0.095,0.117,0.184335489100037,"8","ANPEP"
"ITGB2.1",0.00153125185775841,-0.594047594738385,0.951,0.935,0.214375260086178,"8","ITGB2"
"CD47.1",0.00155762814278327,-0.473466577505337,0.297,0.279,0.218067939989658,"8","CD47"
"IL2RA",0.0018516637361426,-8.83840838047655,0.009,0.017,0.259232923059964,"8","IL2RA"
"TNFRSF9",0.00201840785145738,-2.93628483449588,0.01,0.017,0.282577099204034,"8","TNFRSF9"
"FAS.1",0.00203249894716273,-1.08096483331009,0.234,0.243,0.284549852602783,"8","FAS"
"CR1.1",0.00357297311494303,-4.64843797960315,0.074,0.094,0.500216236092024,"8","CR1"
"CD52.1",0.00405236913651619,-0.384089396302903,0.036,0.042,0.567331679112267,"8","CD52"
"IGKC.1",0.00489154694026406,-5.0939792106071,0.044,0.037,0.684816571636969,"8","IGKC"
"FCGR2A.1",0.00906221868026794,10.5584568011538,0.06,0.07,1,"8","FCGR2A"
"NT5E.1",0.00950510889179128,-8.23530736058678,0.025,0.035,1,"8","NT5E"
"ITGAL.2",6.45033895380384e-284,-6.84840526175594,0.928,0.972,9.03047453532538e-282,"17","ITGAL"
"CD45.2",5.09128639149088e-283,-6.30083798853272,0.526,0.827,7.12780094808723e-281,"17","CD45"
"CD244.1",7.88084084943241e-249,-5.65100932661273,0.485,0.784,1.10331771892054e-246,"17","CD244"
"ITGA4.1",7.95901460960272e-235,-8.38383893144985,0.182,0.576,1.11426204534438e-232,"17","ITGA4"
"NCR1.2",9.77954589905269e-233,-6.20839065913734,0.402,0.734,1.36913642586738e-230,"17","NCR1"
"ITGB2.2",6.60429241719239e-225,-11.5009347876859,0.846,0.955,9.24600938406934e-223,"17","ITGB2"
"CD48.2",9.14876031697466e-224,-3.30622442085919,0.517,0.814,1.28082644437645e-221,"17","CD48"
"CD38.1",1.9070288949654e-217,-4.84465016487284,0.691,0.848,2.66984045295157e-215,"17","CD38"
"KLRD1.2",6.23548408184085e-204,-9.41579060048433,0.441,0.737,8.72967771457719e-202,"17","KLRD1"
"CD45RA.1",6.09858576048664e-202,-1.21750042094785,0.926,0.951,8.5380200646813e-200,"17","CD45RA"
"SLAMF6.2",9.46560507298869e-201,-5.2770826035726,0.122,0.484,1.32518471021842e-198,"17","SLAMF6"
"KLRB1.1",9.65562095240733e-196,-8.87879677990856,0.131,0.482,1.35178693333703e-193,"17","KLRB1"
"ITGB1.2",6.54815518755546e-195,-4.06560924054396,0.305,0.64,9.16741726257764e-193,"17","ITGB1"
"CD7.2",1.46522012470033e-193,-24.1666623385101,0.599,0.825,2.05130817458046e-191,"17","CD7"
"HLA-A.1",1.04932542473409e-191,-6.01090555718197,0.214,0.561,1.46905559462772e-189,"17","HLA-A"
"ADGRG1.2",1.08868622243369e-159,-11.5017576491719,0.399,0.663,1.52416071140716e-157,"17","ADGRG1"
"IL2RB.2",5.25228284196085e-153,-4.97356875810926,0.089,0.389,7.35319597874519e-151,"17","IL2RB"
"CD69.1",3.86824868214034e-149,-15.257941613566,0.097,0.384,5.41554815499648e-147,"17","CD69"
"SIGLEC7.2",1.17889831568513e-142,-27.6981366004149,0.323,0.594,1.65045764195918e-140,"17","SIGLEC7"
"NCAM1.2",1.12518184294491e-137,-21.3386614424183,0.387,0.634,1.57525458012287e-135,"17","NCAM1"
"ITGAM.1",2.1192373449618e-132,-9.67958236587964,0.114,0.392,2.96693228294653e-130,"17","ITGAM"
"CD99.2",3.95379038632197e-112,-7.46771196048118,0.819,0.878,5.53530654085076e-110,"17","CD99"
"CD47.2",3.96938084616852e-112,-4.76074166555379,0.08,0.319,5.55713318463593e-110,"17","CD47"
"KLRK1.2",1.59267647520589e-107,-7.99883241270956,0.027,0.225,2.22974706528824e-105,"17","KLRK1"
"human(Ig).1",7.49854843095643e-97,-7.8093564784692,0.061,0.279,1.0497967803339e-94,"17","human(Ig)"
"CD81.1",1.3043039694201e-96,-4.29005843197528,0.049,0.254,1.82602555718814e-94,"17","CD81"
"TIGIT.2",4.23528452519884e-90,-10.7953072915917,0.082,0.287,5.92939833527838e-88,"17","TIGIT"
"ICAM1.2",1.74884153655019e-87,-8.67431789594891,0.231,0.448,2.44837815117027e-85,"17","ICAM1"
"FAS.2",8.91070506669603e-87,-4.55591329174867,0.071,0.268,1.24749870933744e-84,"17","FAS"
"KIR2DL3.2",2.41789980403633e-75,-16.3675981656415,0.177,0.312,3.38505972565087e-73,"17","KIR2DL3"
"CD2.2",5.37311401419088e-73,-8.1616922769161,0.2,0.38,7.52235961986724e-71,"17","CD2"
"FCGR3A.2",1.43616785260583e-72,-10.9067236254017,0.807,0.828,2.01063499364816e-70,"17","FCGR3A"
"SLAMF7.1",2.03695252370477e-66,-4.50038915457649,0.011,0.134,2.85173353318667e-64,"17","SLAMF7"
"human(TCR).1.1",2.10398010791136e-65,0.78213250047739,0.037,0.19,2.94557215107591e-63,"17","human(TCR).1"
"KLRG1.1",2.21686503603157e-63,-9.87902700980431,0.036,0.169,3.1036110504442e-61,"17","KLRG1"
"CD44.2",4.8015538766207e-58,-3.90845794622326,0.541,0.684,6.72217542726898e-56,"17","CD44"
"ITGAX.2",1.71940949555426e-56,-14.6554487789006,0.381,0.546,2.40717329377596e-54,"17","ITGAX"
"CX3CR1.2",2.23952325100793e-56,-3.10176376477283,0.037,0.171,3.13533255141111e-54,"17","CX3CR1"
"KIR2DL1.2",3.37102669744387e-55,-13.5184924355856,0.105,0.202,4.71943737642142e-53,"17","KIR2DL1"
"human(TCR) .1",7.08189364980104e-54,-3.55030849709506,0.029,0.155,9.91465110972146e-52,"17","human(TCR) "
"KIR3DL1.2",1.28616622575861e-49,-18.6289364706481,0.077,0.186,1.80063271606206e-47,"17","KIR3DL1"
"IFNGR1.1",4.21531607193318e-45,-5.61693452426051,0.007,0.091,5.90144250070646e-43,"17","IFNGR1"
"CD58.1",3.25388661603185e-38,-4.58832069981617,0.009,0.084,4.55544126244459e-36,"17","CD58"
"CD226.1",9.93043344259925e-38,-5.74906926218344,0.003,0.067,1.3902606819639e-35,"17","CD226"
"CLEC12A.1",4.06438893863431e-36,-11.8467284750441,0.063,0.168,5.69014451408803e-34,"17","CLEC12A"
"CD82.2",1.60576601913444e-32,-6.55621840616958,0.002,0.057,2.24807242678822e-30,"17","CD82"
"TNFRSF14.1",6.72590667337832e-30,-5.30128185644031,0.001,0.051,9.41626934272964e-28,"17","TNFRSF14"
"C5AR1.1",3.13230499720357e-29,-6.71923789089034,0.016,0.086,4.385226996085e-27,"17","C5AR1"
"ANPEP.2",3.38612048038006e-26,-10.7100734849153,0.043,0.121,4.74056867253209e-24,"17","ANPEP"
"HLA-E.2",1.16176276925702e-24,-4.21597512527853,0.022,0.085,1.62646787695983e-22,"17","HLA-E"
"CD33.1",6.05347687389469e-24,-27.9943920892066,0.083,0.17,8.47486762345256e-22,"17","CD33"
"ITGA1.2",2.19988225793873e-22,-14.6656695364451,0.096,0.17,3.07983516111422e-20,"17","ITGA1"
"TFRC.2",5.68551285942877e-22,-17.0705755354409,0.003,0.042,7.95971800320028e-20,"17","TFRC"
"IL3RA.1",3.73161193565212e-21,-9.07533794097213,0.044,0.117,5.22425670991297e-19,"17","IL3RA"
"B3GAT1.2",1.37191891409318e-20,-10.0009247038795,0.212,0.131,1.92068647973045e-18,"17","B3GAT1"
"ICOS.2",1.38475427505479e-19,-9.45469625114169,0.006,0.047,1.93865598507671e-17,"17","ICOS"
"ITGAE.2",2.84370604246966e-18,-11.1075742803738,0.063,0.132,3.98118845945752e-16,"17","ITGAE"
"FCGR2A.2",3.67740278930619e-18,-13.7635431218219,0.022,0.075,5.14836390502867e-16,"17","FCGR2A"
"ENTPD1.2",3.37939018265914e-17,-14.086177186912,0.038,0.093,4.7311462557228e-15,"17","ENTPD1"
"PECAM1.2",1.81646632483072e-16,-5.71411337695494,0.021,0.069,2.54305285476301e-14,"17","PECAM1"
"Human-Ig.1",6.51198461411401e-16,-16.7991678351221,0.006,0.042,9.11677845975961e-14,"17","Human-Ig"
"CD28.2",1.1448105760898e-15,-9.38046753788821,0.007,0.042,1.60273480652572e-13,"17","CD28"
"CD52.2",1.52408062120199e-15,-6.20373390189241,0.009,0.045,2.13371286968279e-13,"17","CD52"
"CD101.1",4.6218356998257e-15,-4.55415206252018,0.015,0.055,6.47056997975598e-13,"17","CD101"
"ITGB7.1",5.24092685597812e-15,-9.11128916267655,0.018,0.061,7.33729759836936e-13,"17","ITGB7"
"CD8A.2",1.13616253930018e-14,-12.6480256377548,0.307,0.365,1.59062755502026e-12,"17","CD8A"
"CD5.2",1.43149087600515e-14,-10.6750550843092,0.032,0.062,2.00408722640721e-12,"17","CD5"
"CR1.2",1.75234707684594e-14,-15.3796472876008,0.044,0.096,2.45328590758431e-12,"17","CR1"
"FCGR1A.1",2.6932379858923e-14,-13.473028733364,0.032,0.081,3.77053318024922e-12,"17","FCGR1A"
"IGKC.2",3.41978010117401e-14,-16.581724856296,0.009,0.044,4.78769214164361e-12,"17","IGKC"
"SELL.2",1.28613729588169e-13,-6.60077939602525,0.254,0.307,1.80059221423437e-11,"17","SELL"
"CD4.2",3.39707731084358e-13,-11.6397259698128,0.011,0.041,4.75590823518101e-11,"17","CD4"
"BTLA.1",7.89636058193937e-13,-3.96979389515034,0.005,0.034,1.10549048147151e-10,"17","BTLA"
"CD86.1",1.48152063381585e-12,-15.6861612614103,0.03,0.075,2.07412888734218e-10,"17","CD86"
"DPP4.2",4.47809049166747e-12,-7.99234121041231,0.012,0.043,6.26932668833446e-10,"17","DPP4"
"HLA-DRA.1",7.53011638389895e-12,-5.76121503311383,0.024,0.062,1.05421629374585e-09,"17","HLA-DRA"
"CD3D.2",9.63339139468598e-12,-13.063285962107,0.096,0.106,1.34867479525604e-09,"17","CD3D"
"GGT1.1",2.25312123427674e-11,-12.1030304712995,0.002,0.023,3.15436972798744e-09,"17","GGT1"
"CD14.1",4.56130298106258e-11,-4.052503873845,0.026,0.065,6.38582417348761e-09,"17","CD14"
"CD45RO",4.76831607627574e-10,-4.08744604153439,0.008,0.033,6.67564250678603e-08,"17","CD45RO"
"TCR-AB.2",8.31941138278341e-10,-15.3423899279475,0.039,0.065,1.16471759358968e-07,"17","TCR-AB"
"OLR1.1",1.06866879095814e-09,-13.857938350846,0.014,0.043,1.49613630734139e-07,"17","OLR1"
"LAMP1.1",1.53187869525751e-09,-7.84341952073031,0.004,0.026,2.14463017336051e-07,"17","LAMP1"
"IGHM.1",2.5877191592579e-09,-13.7883423677367,0.006,0.027,3.62280682296107e-07,"17","IGHM"
"ITGA6.2",7.07821797047253e-09,-3.95154182874549,0.009,0.031,9.90950515866154e-07,"17","ITGA6"
"TNFRSF9.1",1.31466224029377e-08,-4.56713109032771,0.001,0.017,1.84052713641128e-06,"17","TNFRSF9"
"SIGLEC1",1.82188642665112e-07,-2.9982893722768,0.003,0.02,2.55064099731157e-05,"17","SIGLEC1"
"LAG3",3.28688947093895e-07,-2.43055223603499,0.003,0.018,4.60164525931453e-05,"17","LAG3"
"ITGA2B",2.16275211191304e-06,-4.00621439359553,0.018,0.032,0.000302785295667825,"17","ITGA2B"
"IL7R.2",2.18504701261205e-06,-5.70405413402202,0.008,0.026,0.000305906581765686,"17","IL7R"
"CD163",2.54782886566205e-06,-2.51551070391485,0.017,0.039,0.000356696041192687,"17","CD163"
"ITGA2",5.1347118179999e-06,-5.0120404832512,0.003,0.015,0.000718859654519987,"17","ITGA2"
"CD36",8.20732705432374e-06,-6.23943649721526,0.006,0.022,0.00114902578760532,"17","CD36"
"CD1C.1",1.42148152223683e-05,-15.6220944098673,0.028,0.052,0.00199007413113156,"17","CD1C"
"PVR.1",1.92580900291264e-05,-3.51721371721373,0.006,0.02,0.00269613260407769,"17","PVR"
"TNFRSF4.1",5.5690723989417e-05,-2.97435827080628,0.002,0.011,0.00779670135851838,"17","TNFRSF4"
"MS4A1",5.7930239565363e-05,-12.1274890379625,0.003,0.014,0.00811023353915082,"17","MS4A1"
"CD19",0.000215966473723184,-9.35079088659057,0.044,0.066,0.0302353063212457,"17","CD19"
"CD27.2",0.000240590056037278,-9.25926299866146,0.056,0.07,0.0336826078452189,"17","CD27"
"LILRB1.1",0.000546417967505868,-2.95516476126811,0.003,0.012,0.0764985154508215,"17","LILRB1"
"CD40",0.000635046555746257,-5.9161441879152,0.035,0.049,0.088906517804476,"17","CD40"
