"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PTMS",1.13253481008789e-33,-1.01649227285574,0.085,0.162,2.01625172239947e-29,"6","PTMS"
"CCR7",8.88896073469479e-33,1.54712436211525,0.055,0.044,1.58250167959771e-28,"6","CCR7"
"CCL3",8.11522285082451e-32,0.85902575368594,0.289,0.201,1.44475312413229e-27,"6","CCL3"
"CX3CR1",3.33413462479915e-31,-0.710570821001568,0.195,0.283,5.93575987252993e-27,"6","CX3CR1"
"LINC02446",7.0429166526606e-31,-1.01086840297095,0.051,0.112,1.25385045167317e-26,"6","LINC02446"
"EMP3",3.25745448513046e-30,-0.254703199883593,0.786,0.855,5.79924621987776e-26,"6","EMP3"
"TRG-AS1",5.61931643733487e-30,-0.621282152290877,0.252,0.342,1.00040690533873e-25,"6","TRG-AS1"
"LSR",7.34048005979381e-30,-3.21142420331853,0.002,0.027,1.30682566504509e-25,"6","LSR"
"H3F3B",8.52984364272641e-30,0.195536563906365,0.982,0.976,1.51856806371458e-25,"6","H3F3B"
"FCER1G",1.04451026812725e-29,0.29836211575586,0.718,0.618,1.85954163034694e-25,"6","FCER1G"
"RGS1",2.39226657524164e-29,1.00358279143725,0.156,0.092,4.25895218390268e-25,"6","RGS1"
"IFIT1",3.37706688343566e-29,1.74959460114655,0.068,0.026,6.01219217258051e-25,"6","IFIT1"
"FP236383.3",2.42739505446607e-28,-0.233004054866485,0.582,0.684,4.32149141546595e-24,"6","FP236383.3"
"PTPRCAP",2.51827069024375e-28,-0.333422069385009,0.571,0.667,4.48327730984095e-24,"6","PTPRCAP"
"SELL",3.04178400891473e-28,-1.04486969074996,0.146,0.209,5.41528807107089e-24,"6","SELL"
"ETS1",9.91327236591494e-28,0.256386710113808,0.804,0.747,1.76485987930384e-23,"6","ETS1"
"HLA-DRB5",1.17113365981553e-27,-0.955171832471526,0.066,0.129,2.08496925456958e-23,"6","HLA-DRB5"
"UBE2L6",1.74115736343491e-27,0.38262663592644,0.541,0.479,3.09978245412316e-23,"6","UBE2L6"
"GYPC",4.60193446616482e-27,0.267830478581083,0.748,0.688,8.19282393011323e-23,"6","GYPC"
"KIR3DL2",1.08923682966821e-26,-1.02611182411003,0.06,0.119,1.93916832785832e-22,"6","KIR3DL2"
"FHL3",1.13964351279867e-26,0.476197629574577,0.386,0.308,2.02890734583548e-22,"6","FHL3"
"EIF2AK2",2.59595252305001e-26,0.572680492383564,0.265,0.21,4.62157427678594e-22,"6","EIF2AK2"
"NKG7",3.29404784011052e-26,-0.17498500686602,0.956,0.985,5.86439336974875e-22,"6","NKG7"
"LY6E",6.8343647694753e-26,0.325182100937314,0.812,0.787,1.21672195990969e-21,"6","LY6E"
"IFI16",7.46148538864752e-26,0.284918705112247,0.654,0.608,1.32836824374092e-21,"6","IFI16"
"TMIGD2",1.00487952283636e-25,0.625947753486322,0.267,0.189,1.78898701450557e-21,"6","TMIGD2"
"TNFRSF18",1.97546895688708e-25,-0.767528017740729,0.158,0.236,3.51692738394607e-21,"6","TNFRSF18"
"KLRC3",3.18699083951947e-25,-0.411550191053539,0.308,0.405,5.67379979159651e-21,"6","KLRC3"
"GPR183",4.35964379495535e-25,-1.10298824588752,0.069,0.127,7.76147384815902e-21,"6","GPR183"
"IFIT3",4.70433972986312e-25,1.37055496885296,0.092,0.045,8.37513602107532e-21,"6","IFIT3"
"APOO",5.23323506216803e-25,-0.386406693997404,0.26,0.353,9.31672838117774e-21,"6","APOO"
"CD38",6.23694503694456e-25,0.472202803464524,0.448,0.375,1.11036332492724e-20,"6","CD38"
"SARAF",1.5888564870825e-24,0.247370210275197,0.873,0.859,2.82864120395298e-20,"6","SARAF"
"EPSTI1",1.79671492141666e-24,0.478282128146503,0.345,0.295,3.19869157459808e-20,"6","EPSTI1"
"TRBC1",3.19442956011737e-24,0.247256832105801,0.738,0.653,5.68704294587696e-20,"6","TRBC1"
"BST2",3.37493071901747e-24,0.326088753145743,0.58,0.547,6.00838915906679e-20,"6","BST2"
"AFF3",4.50655852788622e-24,-1.26498670500421,0.018,0.054,8.02302614719583e-20,"6","AFF3"
"ANXA2",1.26377781695583e-23,-0.79142246129617,0.109,0.176,2.24990364752647e-19,"6","ANXA2"
"HLA-DRA",1.3127193594732e-23,-0.796424460569349,0.09,0.154,2.33703427567014e-19,"6","HLA-DRA"
"RSAD2",3.50245929614454e-23,1.41020874650095,0.074,0.036,6.23542828492613e-19,"6","RSAD2"
"CRTAM",5.50041130094117e-23,-1.60778024794464,0.019,0.056,9.79238223906556e-19,"6","CRTAM"
"OAS3",6.45212597039623e-23,1.30395416601029,0.064,0.035,1.14867198650964e-18,"6","OAS3"
"ITGAE",1.67485166883928e-22,0.45592851292091,0.386,0.311,2.98173842603456e-18,"6","ITGAE"
"CMPK2",5.16901549692761e-22,1.26528751278495,0.077,0.038,9.20239828918023e-18,"6","CMPK2"
"DNPH1",5.43591414318054e-22,0.57629952178844,0.246,0.192,9.67755794910432e-18,"6","DNPH1"
"XCL2",6.40886571457579e-22,-0.908491063862491,0.263,0.294,1.14097036316593e-17,"6","XCL2"
"ISG20",7.18975333519086e-22,0.352006833220774,0.576,0.538,1.27999178626403e-17,"6","ISG20"
"LEF1",7.70608743424752e-22,0.563605037117616,0.065,0.073,1.37191474591909e-17,"6","LEF1"
"HIPK2",1.32152837921505e-21,0.500620494267071,0.301,0.228,2.35271697351656e-17,"6","HIPK2"
"JAK1",3.677751267942e-21,0.190619718992268,0.898,0.87,6.54750058231714e-17,"6","JAK1"
"IL32",4.14731733518089e-21,-0.255498350066142,0.705,0.762,7.38346905182254e-17,"6","IL32"
"GZMK",5.39043990599789e-21,-0.782307850416143,0.076,0.132,9.59660016464804e-17,"6","GZMK"
"MARCH3",6.1187680549373e-21,0.680245842422092,0.195,0.135,1.08932427682049e-16,"6","MARCH3"
"LAT2",9.99645193091476e-21,0.422975920518829,0.337,0.277,1.77966833726076e-16,"6","LAT2"
"PLSCR1",1.06594285708606e-20,0.405694438430107,0.325,0.295,1.89769806847031e-16,"6","PLSCR1"
"CADM1",1.10814898476217e-20,-1.4987121021229,0.02,0.054,1.97283763757209e-16,"6","CADM1"
"SAMD9L",1.24048008195199e-20,0.460207002238628,0.295,0.248,2.20842668989913e-16,"6","SAMD9L"
"RNF130",1.24112550685497e-20,-0.448009424776152,0.19,0.265,2.2095757398539e-16,"6","RNF130"
"ADGRG3",1.52831303415817e-20,0.724804719654607,0.086,0.071,2.7208556947118e-16,"6","ADGRG3"
"TRIM22",1.91218706903854e-20,0.337386774548775,0.472,0.435,3.40426663900932e-16,"6","TRIM22"
"LINC00996",2.10127534112815e-20,0.570945489876153,0.243,0.197,3.74090048981045e-16,"6","LINC00996"
"TRGV4",3.23543601267058e-20,-1.96766892856393,0.011,0.038,5.76004673335743e-16,"6","TRGV4"
"ITGB7",3.57455167785399e-20,-0.589159235736727,0.139,0.207,6.36377435208345e-16,"6","ITGB7"
"IFI35",5.14709853152199e-20,0.43680423261889,0.275,0.237,9.1633795156686e-16,"6","IFI35"
"AL136456.1",6.27255758701431e-20,-2.46128578054158,0.008,0.032,1.11670342721616e-15,"6","AL136456.1"
"OAS1",6.29874339168423e-20,0.61663310204249,0.199,0.16,1.12136528602154e-15,"6","OAS1"
"TIMP1",9.625466128279e-20,-0.936071818997616,0.064,0.115,1.71362173481751e-15,"6","TIMP1"
"STK17A",1.02806066718646e-19,0.195069346009198,0.862,0.826,1.83025640579205e-15,"6","STK17A"
"GBP2",1.3495987091994e-19,0.322808797951456,0.556,0.492,2.4026905819877e-15,"6","GBP2"
"MT-CO1",1.42768755198771e-19,0.143789132378595,0.999,0.999,2.54171214880372e-15,"6","MT-CO1"
"ITGAX",1.46895622447787e-19,-0.704312839840124,0.049,0.09,2.61518276643796e-15,"6","ITGAX"
"NOG",1.5258790407902e-19,3.06664930264545,0.021,0.003,2.71652245631879e-15,"6","NOG"
"CTSW",2.18770564630015e-19,-0.336968351921993,0.713,0.744,3.89477236210816e-15,"6","CTSW"
"IFI44",2.21772843170539e-19,0.792870696847574,0.116,0.083,3.9482219269651e-15,"6","IFI44"
"SLFN5",2.21999704097089e-19,0.295486800062197,0.621,0.582,3.95226073204048e-15,"6","SLFN5"
"LEPROTL1",2.22358528754123e-19,0.292095237248335,0.538,0.491,3.95864888740965e-15,"6","LEPROTL1"
"SERPINB9",2.35775838898406e-19,-0.659544599667696,0.129,0.193,4.19751725990832e-15,"6","SERPINB9"
"ADAM28",3.68489185310124e-19,0.766506533606935,0.14,0.095,6.56021296607613e-15,"6","ADAM28"
"GNAS",5.33538404823074e-19,0.230694999289944,0.749,0.697,9.49858422106519e-15,"6","GNAS"
"MCTP2",5.6668470895757e-19,0.257765857697034,0.545,0.512,1.00886878735716e-14,"6","MCTP2"
"CD8B",5.89934190683874e-19,-1.13729714954628,0.041,0.081,1.0502598396745e-14,"6","CD8B"
"S100A4",1.994801172209e-18,-0.456371978214708,0.363,0.43,3.55134452688369e-14,"6","S100A4"
"LGALS3",2.73987378626812e-18,-0.936465229800464,0.064,0.111,4.87779730169313e-14,"6","LGALS3"
"SYNE2",3.27222753937056e-18,0.227331344466208,0.695,0.619,5.82554668834141e-14,"6","SYNE2"
"GNG2",3.35365613859543e-18,0.260329790077138,0.675,0.607,5.97051402354145e-14,"6","GNG2"
"CXXC5",3.8083477096379e-18,0.323661893944551,0.454,0.396,6.78000142746836e-14,"6","CXXC5"
"GZMB",4.51502583763935e-18,-0.224241457039777,0.864,0.909,8.03810049874934e-14,"6","GZMB"
"LYAR",6.20061852381289e-18,-0.33702901074232,0.454,0.53,1.10389611579441e-13,"6","LYAR"
"FKBP11",6.97068255797176e-18,0.378491519794819,0.407,0.331,1.24099061579571e-13,"6","FKBP11"
"DUSP1",7.82301539880219e-18,0.495885462962113,0.278,0.213,1.39273143144875e-13,"6","DUSP1"
"XBP1",1.26299107671867e-17,-0.35415776529522,0.414,0.492,2.24850301388226e-13,"6","XBP1"
"ANXA5",1.68829634680667e-17,-0.477879905148867,0.137,0.198,3.00567398621991e-13,"6","ANXA5"
"SIGLEC7",1.70416169759455e-17,0.750305440410225,0.124,0.081,3.03391907022758e-13,"6","SIGLEC7"
"MX2",1.89026189332841e-17,0.823330207731226,0.116,0.081,3.36523324869257e-13,"6","MX2"
"GBP4",3.3217211401894e-17,0.377450315375864,0.409,0.364,5.91366014587918e-13,"6","GBP4"
"ZNF683",3.41149998489831e-17,-0.742987876869808,0.04,0.079,6.07349342311447e-13,"6","ZNF683"
"TYMP",4.15756006050751e-17,0.445563437217986,0.285,0.241,7.40170417572153e-13,"6","TYMP"
"DSTN",4.93519113636014e-17,-0.43755054987906,0.252,0.325,8.78612078006195e-13,"6","DSTN"
"RPS21",5.31376944387251e-17,-0.108933612814533,0.986,0.987,9.46010374092623e-13,"6","RPS21"
"IL18RAP",7.4491670164033e-17,0.477969964642129,0.251,0.191,1.32617520393028e-12,"6","IL18RAP"
"CLEC2B",8.7235226841219e-17,0.176836632725599,0.869,0.844,1.55304874345422e-12,"6","CLEC2B"
"LIME1",9.32543592663357e-17,-0.752350718977364,0.1,0.151,1.66020735801857e-12,"6","LIME1"
"PMEPA1",9.95486043949114e-17,0.866490385614948,0.11,0.067,1.77226380404261e-12,"6","PMEPA1"
"CD300C",1.05952936226741e-16,-2.39040906610161,0.003,0.02,1.88628012364466e-12,"6","CD300C"
"MYBL1",1.19803984481687e-16,0.414380370249132,0.327,0.267,2.13287033572747e-12,"6","MYBL1"
"CD247",1.20767100787773e-16,0.106351921325571,0.955,0.928,2.15001669532472e-12,"6","CD247"
"JAML",1.29982938087165e-16,0.740865921474697,0.137,0.086,2.3140862467658e-12,"6","JAML"
"FAM102B",2.09983512119567e-16,0.438453103272278,0.227,0.188,3.73833646626465e-12,"6","FAM102B"
"MT2A",2.7467668174806e-16,0.369854690156199,0.494,0.438,4.89006896516071e-12,"6","MT2A"
"GALE",3.73356125450463e-16,-0.524235758793608,0.049,0.08,6.64685910139459e-12,"6","GALE"
"IL2RB",4.37706327385102e-16,0.212236547707178,0.658,0.629,7.79248574643697e-12,"6","IL2RB"
"TRDV1",5.0688366885052e-16,-1.84540888063476,0.008,0.03,9.0240499565458e-12,"6","TRDV1"
"CD69",8.08967311274207e-16,0.261973362599535,0.522,0.453,1.44020450426147e-11,"6","CD69"
"FBXO34",9.40383827974055e-16,0.384766021351369,0.266,0.232,1.67416532894221e-11,"6","FBXO34"
"RAB11FIP1",9.75289648447908e-16,0.430341926762382,0.24,0.192,1.73630816113181e-11,"6","RAB11FIP1"
"MT-CO2",1.11393473693165e-15,0.11004109571799,0.999,0.998,1.98313801215942e-11,"6","MT-CO2"
"PLEKHO1",1.11868356597322e-15,0.500411181635569,0.221,0.167,1.99159235250212e-11,"6","PLEKHO1"
"ACTN1",1.56264940878613e-15,1.71460794904053,0.038,0.017,2.78198474246195e-11,"6","ACTN1"
"LYST",1.56911052560363e-15,0.185169937472414,0.778,0.753,2.79348746873215e-11,"6","LYST"
"AL034397.3",1.63202221448476e-15,-1.1392788893548,0.009,0.026,2.90548914844722e-11,"6","AL034397.3"
"PLAAT4",1.69481597846842e-15,0.178557767848618,0.899,0.891,3.01728088646732e-11,"6","PLAAT4"
"AC008875.3",1.73435275322348e-15,0.508194689281672,0.222,0.172,3.08766820656376e-11,"6","AC008875.3"
"NME2",2.15543980849643e-15,-0.380246433890344,0.342,0.397,3.8373294910662e-11,"6","NME2"
"TC2N",2.78411018099386e-15,-0.42019417678086,0.274,0.34,4.95655135522337e-11,"6","TC2N"
"APOBEC3G",6.54340198264146e-15,0.217117298468027,0.62,0.606,1.16492185496966e-10,"6","APOBEC3G"
"C4orf48",7.11505551489444e-15,-0.635332211139669,0.099,0.15,1.26669333331666e-10,"6","C4orf48"
"PARP9",7.33244728023421e-15,0.492258871951887,0.219,0.173,1.3053955893001e-10,"6","PARP9"
"FP671120.4",7.60252306567016e-15,-0.168178784586404,0.464,0.541,1.35347718138126e-10,"6","FP671120.4"
"PACSIN1",8.00398272533433e-15,-3.68256273237123,0.001,0.012,1.42494904459127e-10,"6","PACSIN1"
"TUBA4A",9.79604286374497e-15,-0.450680070805427,0.208,0.272,1.74398951103252e-10,"6","TUBA4A"
"GCHFR",1.26698642724581e-14,0.34891988293357,0.312,0.273,2.25561593642572e-10,"6","GCHFR"
"KIT",1.27991971977961e-14,-2.54739792787261,0.004,0.02,2.27864107712364e-10,"6","KIT"
"PNRC1",1.38253889952678e-14,0.149735325988751,0.963,0.95,2.46133400282753e-10,"6","PNRC1"
"METRNL",1.74384950526523e-14,-0.108951825668004,0.442,0.508,3.10457527422368e-10,"6","METRNL"
"HERC5",1.83508807450343e-14,0.687740882241113,0.135,0.097,3.26700729903846e-10,"6","HERC5"
"RPS29",1.89320668684592e-14,-0.16527879557349,0.894,0.916,3.3704758645918e-10,"6","RPS29"
"GNA15",2.20916971311852e-14,-1.21373462477556,0.019,0.046,3.93298484026491e-10,"6","GNA15"
"FCRL6",2.40512675638947e-14,-0.55652740814418,0.146,0.2,4.28184716440018e-10,"6","FCRL6"
"TUBA1B",2.8135800887053e-14,-0.415815089417666,0.376,0.435,5.00901663192205e-10,"6","TUBA1B"
"AHNAK",3.09429451036319e-14,-0.260297328199113,0.452,0.525,5.50877251679959e-10,"6","AHNAK"
"WIPF1",3.13967696408075e-14,0.167775108154538,0.836,0.807,5.58956689915295e-10,"6","WIPF1"
"RGCC",3.1551278929797e-14,0.489122991315248,0.243,0.188,5.61707418787176e-10,"6","RGCC"
"IFITM1",3.86586838982382e-14,0.182973942097807,0.988,0.979,6.88240549440334e-10,"6","IFITM1"
"LGALS1",3.89949487850802e-14,-0.327505974760741,0.425,0.499,6.94227073220784e-10,"6","LGALS1"
"SYNGR1",4.21190015287823e-14,-0.461152791976309,0.206,0.268,7.49844584216911e-10,"6","SYNGR1"
"UNC93B1",4.3675861230593e-14,-0.400383432601676,0.052,0.078,7.77561357488247e-10,"6","UNC93B1"
"SAMD9",4.37977826824747e-14,0.370663181224627,0.321,0.277,7.79731925096097e-10,"6","SAMD9"
"SGCD",4.6121023350669e-14,-1.36647682646325,0.01,0.031,8.2109257871196e-10,"6","SGCD"
"TSPAN4",5.16031773974297e-14,-1.34569697533951,0.012,0.032,9.18691367206441e-10,"6","TSPAN4"
"PPP1R9A",5.1853178687711e-14,-1.11287710597434,0.021,0.048,9.23142140177318e-10,"6","PPP1R9A"
"TIAM1",5.31424373465989e-14,-0.935354483690455,0.015,0.035,9.460948120815e-10,"6","TIAM1"
"PARP10",5.36010054659542e-14,0.409023829864225,0.243,0.202,9.54258700310382e-10,"6","PARP10"
"KLRC4",5.73165580456661e-14,-0.287164682228027,0.296,0.366,1.02040668288699e-09,"6","KLRC4"
"TRIM5",6.08040395728843e-14,0.46678018586572,0.16,0.131,1.08249431651606e-09,"6","TRIM5"
"BATF3",7.15696602603936e-14,-3.47206305975387,0.001,0.012,1.27415466161579e-09,"6","BATF3"
"HLA-E",1.24455270286682e-13,0.104571840865081,0.99,0.988,2.21567717691381e-09,"6","HLA-E"
"PRDX1",1.3069815705489e-13,-0.536395037383522,0.117,0.169,2.32681929004821e-09,"6","PRDX1"
"LILRB1",1.3326306283832e-13,-1.32466992670707,0.018,0.042,2.3724823077106e-09,"6","LILRB1"
"RPL12",1.58062119363113e-13,-0.101940489020103,0.98,0.983,2.81397991102151e-09,"6","RPL12"
"SNRPD3",1.59289105893186e-13,-0.338218586166814,0.195,0.254,2.83582395221639e-09,"6","SNRPD3"
"PASK",1.69175843265312e-13,1.59994444953277,0.039,0.02,3.01183753765234e-09,"6","PASK"
"MAML3",1.88703950969637e-13,-0.724062732757461,0.033,0.061,3.35949643911246e-09,"6","MAML3"
"TNFRSF11A",1.91674103573228e-13,-1.29062008988057,0.01,0.028,3.41237406591418e-09,"6","TNFRSF11A"
"AC004448.2",2.13422068900662e-13,-0.516582754753519,0.151,0.206,3.79955309263849e-09,"6","AC004448.2"
"LITAF",2.16158901942504e-13,-0.238640901262914,0.621,0.675,3.8482769312824e-09,"6","LITAF"
"SPINK2",2.29176778258796e-13,-1.71879502351838,0.009,0.028,4.08003418334134e-09,"6","SPINK2"
"IFIT2",2.3180673991855e-13,0.858043396661698,0.091,0.056,4.12685539076994e-09,"6","IFIT2"
"FUT8",2.49227272271806e-13,-0.678578300186444,0.062,0.101,4.43699312825496e-09,"6","FUT8"
"SEPTIN9",2.52725303223115e-13,0.164918768666884,0.714,0.7,4.49926857328112e-09,"6","SEPTIN9"
"LRRN3",3.54610431512076e-13,1.54977688543816,0.019,0.005,6.31312951220948e-09,"6","LRRN3"
"CD2",4.04954869036565e-13,-0.470297126547953,0.215,0.271,7.20941153345797e-09,"6","CD2"
"HIST1H1E",4.11278185275462e-13,0.265213029871159,0.702,0.667,7.32198553245905e-09,"6","HIST1H1E"
"UBALD2",4.89593105004429e-13,0.219337467000612,0.529,0.495,8.71622604839384e-09,"6","UBALD2"
"GNLY",5.24547673709582e-13,-0.100263224521181,0.929,0.953,9.33852223505169e-09,"6","GNLY"
"N4BP1",5.38344468813056e-13,0.312501375285827,0.319,0.286,9.58414657827884e-09,"6","N4BP1"
"KLF6",6.21111235957503e-13,0.219553981422961,0.744,0.713,1.10576433337514e-08,"6","KLF6"
"FES",6.55325956458664e-13,-0.68652953254361,0.07,0.11,1.16667680028336e-08,"6","FES"
"FXYD7",7.60782698902138e-13,-2.0891511344615,0.005,0.02,1.35442143885548e-08,"6","FXYD7"
"SLC1A4",8.5881108327881e-13,-0.684536786462246,0.022,0.043,1.52894137156127e-08,"6","SLC1A4"
"GAB1",8.62905273691225e-13,-0.494040690723342,0.032,0.053,1.53623025875249e-08,"6","GAB1"
"KIF21A",8.99109372580629e-13,-1.28091456940246,0.017,0.041,1.60068441600529e-08,"6","KIF21A"
"CLINT1",1.05813101230173e-12,0.329885614545078,0.288,0.247,1.88379064120078e-08,"6","CLINT1"
"PRELID1",1.08039284480188e-12,-0.252261720044128,0.455,0.523,1.92342338160079e-08,"6","PRELID1"
"PTPN12",1.08804864647971e-12,0.30417500056688,0.404,0.351,1.93705300532783e-08,"6","PTPN12"
"ITGA4",1.19559489508313e-12,0.254781765242362,0.506,0.466,2.1285175917165e-08,"6","ITGA4"
"SORL1",1.20758033311267e-12,0.285740156127324,0.433,0.383,2.14985526704049e-08,"6","SORL1"
"HVCN1",1.33527103006518e-12,-0.727167574441963,0.048,0.082,2.37718301482504e-08,"6","HVCN1"
"ACTB",1.38723723964914e-12,-0.223046548368061,0.99,0.988,2.46969845774736e-08,"6","ACTB"
"CD4",1.61957636527226e-12,2.82647910207036,0.013,0.002,2.8833318030942e-08,"6","CD4"
"PARP14",1.6228867291699e-12,0.344502792731558,0.303,0.261,2.88922524394118e-08,"6","PARP14"
"FYN",1.63460088853674e-12,0.145253959010183,0.894,0.873,2.91007996186197e-08,"6","FYN"
"TGFBR2",1.66568280133112e-12,0.264727365640868,0.446,0.396,2.9654150912098e-08,"6","TGFBR2"
"ITM2B",1.6904492391431e-12,0.121471243162793,0.901,0.897,3.00950678044645e-08,"6","ITM2B"
"ADAR",1.81183010696492e-12,0.273225442074919,0.442,0.404,3.22560113942964e-08,"6","ADAR"
"RPS27",1.90837680624052e-12,-0.104248935302749,1,1,3.39748322815e-08,"6","RPS27"
"MYC",2.05081861886212e-12,0.485227413969685,0.058,0.061,3.65107238716023e-08,"6","MYC"
"SP110",2.1571497569654e-12,0.242788855633333,0.39,0.369,3.8403737123255e-08,"6","SP110"
"IL10RA",2.41043217119092e-12,-0.234977478182856,0.393,0.462,4.2912923943712e-08,"6","IL10RA"
"SLC44A2",2.49467579642853e-12,0.287930269052138,0.392,0.344,4.44127132038171e-08,"6","SLC44A2"
"FGR",2.67276500981516e-12,-0.360399273271858,0.283,0.347,4.75832354697394e-08,"6","FGR"
"RAB37",3.24117259105473e-12,-0.233734637516683,0.206,0.257,5.77025956385474e-08,"6","RAB37"
"DTX3L",3.27148169590049e-12,0.361792962204286,0.205,0.182,5.82421886321164e-08,"6","DTX3L"
"YPEL3",3.56368972805894e-12,0.11132487971701,0.952,0.935,6.34443682286334e-08,"6","YPEL3"
"MYOM2",3.57827200890124e-12,-1.19095662489807,0.028,0.056,6.37039765744688e-08,"6","MYOM2"
"GBP5",3.96194951915368e-12,0.361612723510778,0.51,0.483,7.0534587289493e-08,"6","GBP5"
"PPP1R15A",4.67862910837014e-12,0.371638798915686,0.3,0.252,8.32936340163137e-08,"6","PPP1R15A"
"CLDND1",4.95056690966023e-12,0.286043000803558,0.483,0.443,8.81349426926811e-08,"6","CLDND1"
"MXD4",4.99049395610231e-12,0.271279241023206,0.425,0.376,8.88457639004894e-08,"6","MXD4"
"ITGA6",5.3017819195075e-12,0.975479919436517,0.062,0.034,9.43876235129921e-08,"6","ITGA6"
"AKNA",5.71696722398895e-12,0.187269581182372,0.651,0.623,1.01779167488675e-07,"6","AKNA"
